;Talsperre;Zeitscheibe;ensminimum;ensp25;ensmedian;ensp75;ensmaximum;ensminimum;ensp25;ensmedian;ensp75;ensmaximum
0;Bodensee Rhein output;1971-2000 [Mio. $m^3/y$] ;9098.31;9368.29;9403.54;9552.76;9839.47;9052.38;9378.76;9494.91;9697.99;10376.76
1;Lon: 8.6317584002°;2021-2050 [\%] ;-7.34;-0.91;+2.25;+5.86;+10.13;-8.6;+1.13;+5.83;+7.24;+14.23
2;Lat: 47.6926384648°;2036-2065 [\%] ;-6.27;-2.34;+2.38;+5.96;+9.04;-14.19;+3.05;+7.13;+7.73;+25.83
3;EZG: 11787.87 $km^2$;2069-2098 [\%] ;-11.9;+1.02;+3.05;+5.77;+8.11;-27.87;-1.48;+6.82;+13.34;+42.15
