,index,pre_yearly,pre_summer,pre_winter,recharge_adjust,Tmax25[n],Tmax30[n],rcp
0,met_001,736.43097,338.2723,393.27063,109.91792,60.466667,21.4,rcp85
1,met_002,864.53143,439.5287,419.4306,148.4425,49.866665,13.066667,rcp85
2,met_003,831.2372,437.2691,382.15668,128.97485,47.333332,15.6,rcp26
3,met_004,857.4927,464.2277,380.81445,152.87558,32.366665,6.6666665,rcp26
4,met_007,861.6039,460.1068,394.0993,146.28696,48.033333,16.733334,rcp85
5,met_008,841.29266,448.03802,381.98553,140.54117,38.533333,8.2,rcp85
6,met_009,810.32886,425.75613,376.3672,129.24586,41.7,9.9,rcp85
7,met_010,887.3654,491.01517,387.96878,163.30269,35.833332,8.066667,rcp85
8,met_011,760.531,382.12482,363.54694,108.72429,40.5,9.5,rcp26
9,met_012,754.76886,403.33102,348.06,104.855644,42.066666,9.833333,rcp26
10,met_013,798.8122,417.34875,372.812,127.44354,37.5,9.166667,rcp26
11,met_014,748.8909,385.03967,352.9927,104.5862,42.733334,13.5,rcp26
12,met_015,764.30505,433.8923,326.76657,111.94153,35.966667,7.866667,rcp26
13,met_021,818.0741,418.64615,393.7159,131.30754,42.266666,10.766666,rcp85
14,met_022,833.1936,427.78516,400.02393,130.43088,48.7,13.566667,rcp85
15,met_023,830.7221,432.54715,396.16772,133.88452,40.266666,8.966666,rcp85
16,met_024,844.6701,431.05762,407.82953,144.05943,43.666668,12.5,rcp85
17,met_025,820.89764,404.55865,409.71243,126.62439,45.266666,14.8,rcp85
18,met_026,782.35736,423.35458,354.88553,124.3919,43.3,9.8,rcp85
19,met_027,834.24695,456.08737,374.81964,148.35779,40.4,10.4,rcp85
20,met_028,762.19794,405.00702,351.36002,106.87974,46.633335,15.533334,rcp85
21,met_029,806.3235,433.30026,369.2163,122.21479,46.666668,12.033334,rcp85
22,met_030,883.3948,495.14313,377.895,153.41052,41.366665,10.533334,rcp85
23,met_031,795.4235,417.8366,368.6224,110.134544,49.533333,16.6,rcp85
24,met_032,818.0922,452.4703,361.15747,127.63268,47.166668,10.133333,rcp26
25,met_035,966.9145,528.4972,428.01404,193.88554,42.033333,7.3,rcp85
26,met_036,871.91077,430.0415,426.0796,154.8377,44.4,12.666667,rcp85
27,met_037,840.7842,404.40112,427.16068,143.9018,47.9,17.066668,rcp85
28,met_038,716.9068,383.982,327.13867,88.54401,51.966667,14.333333,rcp26
29,met_039,751.1129,401.33746,342.18756,100.78063,45.433334,9.366667,rcp26
30,met_040,762.12256,402.68762,351.0481,100.61107,56.666668,17.666666,rcp85
31,met_041,816.9604,432.42807,375.15402,124.065285,49.8,12.633333,rcp85
32,met_042,768.2242,418.08932,345.65527,111.57903,45.4,9.366667,rcp26
33,met_043,821.00433,447.03214,361.7307,130.99336,41.566666,9.766666,rcp26
34,met_044,829.9809,464.4879,356.30615,141.54834,39.133335,7.766667,rcp26
35,met_045,802.8784,431.58185,361.35953,126.27893,42.033333,11.7,rcp26
36,met_050,766.4337,369.52295,396.2109,105.63889,67.0,23.4,rcp85
37,met_051,879.7767,466.82257,405.90497,148.24846,61.3,23.4,rcp85
38,met_052,815.7101,412.26913,393.04205,122.58456,58.633335,15.533334,rcp85
39,met_053,825.1465,422.70023,397.88242,123.240654,53.033333,12.766666,rcp85
40,met_054,845.6004,432.71625,402.5441,132.28929,55.866665,18.0,rcp85
41,met_055,928.2569,527.1473,396.5287,168.25838,43.566666,11.833333,rcp85
42,met_056,885.712,464.27325,414.0557,154.91968,48.3,12.066667,rcp85
43,met_057,803.7998,403.73462,394.01556,106.655426,72.166664,28.266666,rcp85
44,met_058,861.8146,440.47983,413.58676,144.46535,49.133335,17.633333,rcp85
45,met_059,818.89703,437.0262,371.87943,134.48254,32.766666,9.4,rcp26
46,met_060,798.17114,421.42447,368.90887,129.29999,32.333332,7.0666666,rcp26
47,met_061,805.29535,420.3875,376.80115,126.33293,37.066666,11.6,rcp26
48,met_062,802.91846,396.36853,398.05603,124.45116,37.833332,7.9,rcp26
49,met_067,820.7076,423.5806,383.48132,126.89157,39.966667,12.966666,rcp85
50,met_068,790.8846,407.18588,372.4208,119.3889,40.133335,11.4,rcp85
51,met_069,805.49713,417.38214,376.27765,124.71143,43.566666,13.833333,rcp85
52,met_070,837.26697,439.4595,384.58646,130.83992,41.4,12.633333,rcp85
53,met_071,835.01355,433.23972,387.79498,137.5472,41.033333,12.466666,rcp85
54,met_072,801.9492,409.43765,381.2359,126.28485,40.1,12.033334,rcp85
55,met_073,822.51355,421.36008,388.03555,125.40846,42.466667,15.466666,rcp85
56,met_074,852.3613,412.9422,426.4966,141.9613,40.1,10.766666,rcp85
57,met_075,855.6445,410.46176,434.79355,139.92409,46.533333,13.4,rcp85
58,met_076,911.7001,424.85748,472.42606,168.44185,40.6,13.5,rcp85
59,met_077,817.4534,429.94513,375.9249,125.327644,42.1,11.433333,rcp85
60,met_078,857.66724,429.99774,419.73474,144.20987,43.9,15.633333,rcp85
61,met_079,804.2386,432.93286,366.57758,125.27052,39.866665,10.033334,rcp26
62,met_080,839.0314,446.13156,380.59396,146.04666,35.3,10.7,rcp26
63,met_082,801.3468,423.6413,370.20993,125.35166,41.5,8.9,rcp85
64,met_083,825.63934,428.707,384.87656,130.66447,45.3,12.433333,rcp85
65,met_084,838.775,456.1622,379.58868,136.44914,46.2,12.4,rcp85
66,met_085,884.12244,482.92508,398.66272,163.4955,38.633335,7.6,rcp85
67,met_086,841.2835,455.88565,379.3039,148.01497,40.866665,10.433333,rcp85
68,met_087,859.1599,466.0717,384.67038,148.66699,40.2,12.1,rcp85
69,met_088,757.54956,385.84454,361.12875,108.98261,33.5,6.4,rcp26
