,index,pre_yearly,pre_summer,pre_winter,recharge_adjust,Tmax25[n],Tmax30[n],rcp
0,met_001,745.1813,360.23523,381.81525,119.04051,44.266666,13.233334,rcp85
1,met_002,868.89594,461.0704,400.94666,154.4271,36.6,7.4,rcp85
2,met_003,813.894,419.44122,382.10278,126.864365,44.466667,14.633333,rcp26
3,met_004,850.082,465.73337,374.91815,156.63046,30.3,6.5666666,rcp26
4,met_007,872.67236,476.04785,389.79645,153.63269,39.966667,12.266666,rcp85
5,met_008,842.0449,447.73642,382.8129,145.35869,34.3,6.233333,rcp85
6,met_009,780.6065,407.2633,365.45935,117.718925,42.033333,10.066667,rcp85
7,met_010,868.6741,477.61667,383.01837,158.70605,32.166668,7.2,rcp85
8,met_011,785.551,400.73303,374.36298,122.23459,37.133335,9.033334,rcp26
9,met_012,795.8477,419.72003,373.9742,125.65808,37.233334,8.133333,rcp26
10,met_013,813.5942,417.1901,388.43204,138.58376,34.933334,8.766666,rcp26
11,met_014,757.8037,385.02002,365.71597,108.412674,43.166668,14.333333,rcp26
12,met_015,763.7495,436.64334,321.89767,114.44551,29.966667,5.733333,rcp26
13,met_021,806.574,415.18192,385.1039,129.97346,38.3,9.4,rcp85
14,met_022,818.7446,418.4524,394.61877,130.44666,43.2,10.166667,rcp85
15,met_023,821.9931,426.68832,392.6135,131.79785,35.133335,7.1,rcp85
16,met_024,841.38214,429.5389,402.49948,148.64355,36.666668,9.233334,rcp85
17,met_025,824.1992,416.19644,402.56833,133.52084,38.933334,12.233334,rcp85
18,met_026,768.5976,415.10843,350.3605,118.97786,39.666668,8.0,rcp85
19,met_027,804.4719,438.23306,361.70865,137.01851,36.533333,7.6,rcp85
20,met_028,742.265,388.80612,347.6579,100.84971,44.3,14.366667,rcp85
21,met_029,809.875,434.84558,371.2933,127.83318,42.133335,10.9,rcp85
22,met_030,869.53986,483.10825,376.14,152.41092,37.7,9.8,rcp85
23,met_031,791.40845,408.00436,375.56696,113.47755,45.033333,16.0,rcp85
24,met_032,811.9011,440.87357,367.035,125.10257,42.8,9.433333,rcp26
25,met_035,917.72314,512.497,396.5916,171.67421,40.8,5.3333335,rcp85
26,met_036,847.71765,434.3815,402.69666,149.05788,34.066666,7.266667,rcp85
27,met_037,818.4458,411.54117,398.18222,138.15538,37.533333,11.2,rcp85
28,met_038,727.0725,395.88278,325.4276,91.67815,49.966667,14.733334,rcp26
29,met_039,743.3042,404.03098,330.17633,96.39638,47.4,11.066667,rcp26
30,met_040,740.4526,400.5537,333.16302,92.48567,51.466667,15.033334,rcp85
31,met_041,798.38873,434.1032,354.32043,116.57231,46.066666,12.1,rcp85
32,met_042,765.6851,412.75452,347.3766,109.95299,47.3,9.733334,rcp26
33,met_043,798.34875,426.86768,361.32434,121.06085,44.033333,10.8,rcp26
34,met_044,807.38196,448.38492,353.9663,131.06021,40.7,7.9333334,rcp26
35,met_045,786.3749,417.89514,361.95978,120.697685,43.7,13.533334,rcp26
36,met_050,782.5512,394.61932,385.45657,110.93215,57.166668,17.466667,rcp85
37,met_051,844.03156,450.60254,389.20554,140.39732,55.4,20.633333,rcp85
38,met_052,805.4437,407.9245,385.5247,122.36533,51.4,12.7,rcp85
39,met_053,813.46,409.38483,397.6021,120.93204,49.466667,11.7,rcp85
40,met_054,844.4151,421.81625,410.13748,135.36841,47.9,13.633333,rcp85
41,met_055,877.2832,493.55063,378.34024,151.7163,39.6,10.4,rcp85
42,met_056,864.3401,455.56818,402.16284,149.87778,42.966667,9.9,rcp85
43,met_057,800.7174,409.60904,387.08975,110.01548,59.166668,21.366667,rcp85
44,met_058,833.57697,423.6406,399.40933,134.3634,45.566666,15.933333,rcp85
45,met_059,828.04944,440.95413,375.24478,140.31686,30.933332,8.766666,rcp26
46,met_060,828.2221,436.70096,383.26498,139.14894,33.5,7.8333335,rcp26
47,met_061,808.427,413.82086,384.83948,125.7087,38.933334,12.733334,rcp26
48,met_062,836.1075,433.2894,394.50037,137.7443,35.7,8.6,rcp26
49,met_067,804.8037,445.16434,347.88025,124.19016,34.866665,10.266666,rcp85
50,met_068,765.92255,417.8262,337.73447,110.28949,35.7,9.466666,rcp85
51,met_069,788.6882,425.181,353.06445,120.510605,39.2,11.333333,rcp85
52,met_070,813.4146,448.19083,354.11142,126.41657,34.1,9.566667,rcp85
53,met_071,826.59644,456.34286,358.57416,138.14993,32.633335,8.2,rcp85
54,met_072,796.42615,430.3303,356.45502,123.13915,35.233334,9.433333,rcp85
55,met_073,804.8236,438.5148,358.42615,121.52355,36.366665,11.633333,rcp85
56,met_074,840.3624,426.421,402.2462,139.96356,36.2,8.766666,rcp85
57,met_075,840.20337,421.86252,409.5339,135.01776,39.5,9.7,rcp85
58,met_076,878.3812,423.96045,444.0284,156.32744,36.333332,10.8,rcp85
59,met_077,788.8036,426.04877,351.4183,117.899796,35.1,8.033334,rcp85
60,met_078,824.042,426.65506,388.20932,137.58342,34.733334,10.366667,rcp85
61,met_079,782.8298,425.35706,352.72495,117.26058,40.7,10.633333,rcp26
62,met_080,820.05664,438.1928,369.35492,134.22879,36.266666,11.266666,rcp26
63,met_082,791.0781,420.82764,363.2032,124.597336,36.166668,6.5333333,rcp85
64,met_083,797.0912,420.1663,366.9307,122.41567,40.8,10.0,rcp85
65,met_084,820.7218,447.11215,370.2045,133.103,39.733334,9.866667,rcp85
66,met_085,836.4595,452.71384,380.90137,145.37157,36.166668,7.5666666,rcp85
67,met_086,818.0694,450.07175,363.1744,140.56041,36.833332,9.2,rcp85
68,met_087,830.26843,452.96298,368.02682,138.68477,36.566666,10.4,rcp85
69,met_088,736.54675,377.1223,350.27286,98.30751,35.1,7.1,rcp26
