,index,pre_yearly,pre_summer,pre_winter,recharge_adjust,Tmax25[n],Tmax30[n],rcp
0,met_001,6.292053,-30.992737,44.716553,5.934334,13.866667,7.533334,rcp85
1,met_002,103.59216,46.588776,60.185425,40.41871,5.533331,2.5,rcp85
2,met_003,59.023926,15.125458,40.690002,12.944481,14.0,7.7999997,rcp26
3,met_004,93.26825,59.318604,33.54486,42.964256,-0.9666672,0.2999997,rcp26
4,met_007,119.752014,73.34979,48.696777,39.751083,9.200001,5.2999997,rcp85
5,met_008,76.24121,34.242218,40.9093,31.282211,3.4333324,1.2999997,rcp85
6,met_009,25.392578,2.6966553,23.826416,4.2010727,9.933334,5.233333,rcp85
7,met_010,105.52161,64.56369,41.628265,44.7612,0.93333435,0.9333329,rcp85
8,met_011,22.226196,-10.317993,31.341125,8.164162,9.000002,2.8666673,rcp26
9,met_012,32.567566,9.828522,28.62204,11.661385,8.666666,3.1333332,rcp26
10,met_013,59.298645,15.373566,44.158478,24.866096,7.000002,3.333333,rcp26
11,met_014,-2.9875488,-24.83725,23.309784,-5.334511,14.966667,7.566666,rcp26
12,met_015,2.4558716,27.206573,-22.463928,0.57118225,0.39999962,0.7333331,rcp26
13,met_021,35.27588,-4.5573425,40.789185,15.709778,9.933332,3.1666665,rcp85
14,met_022,53.404236,4.1040344,50.720093,16.554695,14.333334,5.0000005,rcp85
15,met_023,47.840454,8.836884,44.93045,17.613876,5.833336,1.9000001,rcp85
16,met_024,82.745544,22.71399,59.19568,34.86653,8.2333355,3.666667,rcp85
17,met_025,46.36859,-10.859589,58.322815,19.555183,9.966667,5.266667,rcp85
18,met_026,1.3434448,0.586853,6.9957886,4.919487,9.166668,2.6,rcp85
19,met_027,45.54474,30.62204,16.806458,23.130943,7.3999996,2.1333332,rcp85
20,met_028,-25.08075,-29.715942,5.6336975,-13.049751,15.299999,7.6333337,rcp85
21,met_029,46.137268,22.283966,27.840546,13.903175,12.300001,5.933333,rcp85
22,met_030,102.68994,71.00369,30.933228,38.336754,6.666668,3.9333334,rcp85
23,met_031,15.869995,-17.503204,32.70038,-0.5867996,16.866667,9.833334,rcp85
