,index,pre_yearly,pre_summer,pre_winter,recharge_adjust,Tmax25[n],Tmax30[n],rcp
0,met_001,-2.458252,-52.955658,56.171936,-3.1882553,30.066668,15.7,rcp85
1,met_002,99.22766,25.047058,78.66937,34.43412,18.799997,8.166666,rcp85
2,met_003,76.36713,32.95334,40.743896,15.05497,16.866665,8.766666,rcp26
3,met_004,100.678955,57.812927,39.441162,39.209373,1.0999985,0.39999962,rcp26
4,met_007,108.68353,57.408752,52.999634,32.40535,17.266666,9.766666,rcp85
5,met_008,75.48895,34.543823,40.08194,26.464691,7.666666,3.2666664,rcp85
6,met_009,55.11493,21.189484,34.734253,15.728012,9.600002,5.066666,rcp85
7,met_010,124.21295,77.96219,46.578674,49.357834,4.5999985,1.7999997,rcp85
8,met_011,-2.7938232,-28.926208,20.525085,-5.346138,12.366667,3.3333335,rcp26
9,met_012,-8.5112915,-6.560486,2.7078247,-9.141052,13.499998,4.833333,rcp26
10,met_013,44.516663,15.532227,28.538452,13.7258835,9.566668,3.7333336,rcp26
11,met_014,-11.90033,-24.817596,10.586517,-9.160988,14.533333,6.733333,rcp26
12,met_015,3.0114136,24.455536,-17.595032,-1.9328003,6.3999996,2.8666668,rcp26
13,met_021,46.776,-1.0931091,49.401184,17.043854,13.9,4.5333333,rcp85
14,met_022,67.85321,13.436798,56.125244,16.538918,19.833334,8.4,rcp85
15,met_023,56.569458,14.695709,48.48468,19.700546,10.966667,3.7666664,rcp85
16,met_024,86.03351,24.232697,64.52573,30.28241,15.2333355,6.9333334,rcp85
17,met_025,43.067017,-22.497375,65.46692,12.65873,16.3,7.8333335,rcp85
18,met_026,15.10321,8.833008,11.520813,10.333527,12.799999,4.4,rcp85
19,met_027,75.31976,48.47635,29.91745,34.470222,11.266668,4.933333,rcp85
20,met_028,-5.147827,-13.515045,9.335815,-7.019722,17.633335,8.800001,rcp85
21,met_029,42.585754,20.738647,25.76355,8.284782,16.833334,7.066667,rcp85
22,met_030,116.54486,83.038574,32.6882,39.336357,10.333332,4.666667,rcp85
23,met_031,19.88507,-7.6709595,25.755829,-3.929802,21.366667,10.433334,rcp85
24,met_032,56.21808,41.33551,18.649292,13.826538,17.166668,5.6666665,rcp26
25,met_035,197.53412,110.464874,88.155975,79.92324,10.6,4.166667,rcp85
26,met_036,121.16223,20.353912,91.80463,41.196487,13.333334,6.166667,rcp85
27,met_037,87.756165,-8.558105,92.79996,30.33603,18.533335,9.900002,rcp85
28,met_038,-56.661865,-38.414948,-15.800507,-26.427155,23.833334,9.266666,rcp26
29,met_039,-17.948181,-13.800201,-2.6756287,-13.34642,16.300001,5.3333335,rcp26
30,met_040,-17.970764,-24.480682,6.470581,-14.382744,28.033335,12.5,rcp85
31,met_041,41.507507,12.908691,30.357178,9.981506,19.699999,8.366667,rcp85
32,met_042,3.1881714,6.3008423,0.51504517,-2.3329163,16.266668,4.6,rcp26
33,met_043,62.57086,43.221313,15.769043,17.08419,12.699999,4.0666666,rcp26
