,index,pre_yearly,pre_summer,pre_winter,recharge_adjust,Tmax25[n],Tmax30[n],rcp
0,met_001,738.8892,391.22797,337.0987,113.10618,30.4,5.7,rcp85
1,met_002,765.3038,414.48163,340.76123,114.008385,31.066668,4.9,rcp85
2,met_003,754.87006,404.31577,341.41278,113.91988,30.466667,6.8333335,rcp26
3,met_004,756.8137,406.41476,341.3733,113.66621,31.266666,6.266667,rcp26
4,met_007,752.92035,402.69806,341.09967,113.88161,30.766666,6.9666667,rcp85
5,met_008,765.8037,413.4942,341.9036,114.07648,30.866667,4.9333334,rcp85
6,met_009,755.2139,404.56665,341.63293,113.51785,32.1,4.8333335,rcp85
7,met_010,763.15247,413.05298,341.3901,113.944855,31.233334,6.266667,rcp85
8,met_011,763.3248,411.05103,343.02185,114.07043,28.133333,6.1666665,rcp26
9,met_012,763.28015,409.8915,345.35217,113.9967,28.566668,5.0,rcp26
10,met_013,754.29553,401.81653,344.27356,113.71766,27.933332,5.4333334,rcp26
11,met_014,760.79126,409.85727,342.4062,113.747185,28.2,6.766667,rcp26
12,met_015,761.29364,409.43677,344.3616,113.87433,29.566668,5.0,rcp26
13,met_021,771.2981,419.73926,344.31473,114.26369,28.366667,6.233333,rcp85
14,met_022,765.3404,414.34836,343.89868,113.89196,28.866667,5.1666665,rcp85
15,met_023,774.15265,417.85144,347.68304,114.183975,29.3,5.2,rcp85
16,met_024,758.6366,406.82492,343.3038,113.77702,28.433332,5.5666666,rcp85
17,met_025,777.8306,427.05603,344.2455,113.96566,28.966667,6.9666667,rcp85
18,met_026,767.25415,414.52158,343.36472,114.05837,30.5,5.4,rcp85
19,met_027,758.9272,407.61102,344.9022,113.887566,29.133333,5.4666667,rcp85
20,met_028,767.34576,418.52206,342.0242,113.89946,29.0,6.733333,rcp85
21,met_029,763.73773,412.5616,343.45276,113.93001,29.833334,4.9666667,rcp85
22,met_030,766.8499,412.10455,345.2068,114.074165,31.033333,5.866667,rcp85
23,met_031,775.53845,425.50757,342.86658,114.06435,28.166666,6.1666665,rcp85
24,met_032,761.87415,411.1348,342.50818,113.806145,30.0,4.4666667,rcp26
25,met_035,769.3804,418.03232,339.85806,113.9623,31.433332,3.1333334,rcp85
26,met_036,750.74854,409.6876,334.27496,113.64122,31.066668,6.5,rcp85
27,met_037,753.028,412.95923,334.36072,113.565765,29.366667,7.1666665,rcp85
28,met_038,773.56866,422.39694,342.93918,114.97116,28.133333,5.0666666,rcp26
29,met_039,769.0611,415.13766,344.8632,114.12705,29.133333,4.0333333,rcp26
30,met_040,780.0933,427.1683,344.5775,114.99381,28.633333,5.1666665,rcp85
31,met_041,775.4529,419.51938,344.79684,114.08378,30.1,4.266667,rcp85
32,met_042,765.036,411.78848,345.14023,113.91195,29.133333,4.766667,rcp26
33,met_043,758.4335,403.81082,345.96167,113.90917,28.866667,5.7,rcp26
34,met_044,754.4927,405.92813,340.1989,113.7943,29.533333,5.633333,rcp26
35,met_045,753.35345,404.2536,339.84073,113.86956,31.233334,7.766667,rcp26
36,met_050,777.02423,426.91562,339.6761,114.469086,29.2,6.0,rcp85
37,met_051,758.1181,407.47928,340.5493,114.03995,30.5,6.633333,rcp85
38,met_052,770.1586,421.14087,339.43057,114.00715,29.466667,5.2,rcp85
39,met_053,776.52057,421.21445,345.65485,114.04853,29.466667,4.866667,rcp85
40,met_054,762.8704,403.86993,349.48734,113.94928,28.5,5.6,rcp85
41,met_055,768.744,414.04254,344.63153,114.04642,28.966667,5.0333333,rcp85
42,met_056,768.7577,421.62262,338.81082,113.95614,29.366667,5.633333,rcp85
43,met_057,774.1551,424.61267,338.82993,114.08773,29.633333,6.6,rcp85
44,met_058,759.7959,409.78183,340.23508,113.9493,31.466667,7.866667,rcp85
45,met_059,756.3102,406.595,340.28244,113.846794,28.133333,6.4,rcp26
46,met_060,767.19556,413.96017,344.73083,114.08534,29.233334,5.6,rcp26
47,met_061,759.408,408.5955,341.65515,113.95921,28.166666,6.4666667,rcp26
48,met_062,769.37665,417.53036,343.78537,114.06535,30.533333,5.5,rcp26
49,met_067,776.2325,425.45303,340.5657,114.19168,28.466667,6.4666667,rcp85
50,met_068,775.64014,425.1289,342.1825,114.11164,28.066668,5.1,rcp85
51,met_069,773.56555,423.68997,342.37384,114.05712,29.966667,5.9666667,rcp85
52,met_070,771.311,410.65952,349.87057,114.16684,29.933332,5.9666667,rcp85
53,met_071,768.027,414.5765,344.7822,114.07903,30.166666,6.766667,rcp85
54,met_072,776.4995,421.8646,344.72177,114.26349,29.3,5.7,rcp85
55,met_073,775.6002,422.58246,344.86932,114.08613,28.766666,6.6666665,rcp85
56,met_074,767.5941,417.9806,340.51746,113.92662,28.8,5.4,rcp85
57,met_075,773.49414,421.03458,344.26804,114.279594,30.533333,5.5333333,rcp85
58,met_076,773.10925,420.00443,346.59064,113.74833,29.033333,7.0,rcp85
59,met_077,768.90027,413.87924,345.8196,113.93852,30.033333,5.633333,rcp85
60,met_078,765.69226,410.5748,347.06638,113.88502,29.533333,6.8,rcp85
61,met_079,760.94354,409.732,343.91183,113.751396,28.766666,4.2,rcp26
62,met_080,761.0273,409.50784,340.30103,113.85492,27.866667,6.3333335,rcp26
63,met_082,769.4618,421.0525,341.12567,114.05632,27.833334,4.1666665,rcp85
64,met_083,761.47595,417.4515,335.54764,113.64499,29.733334,5.0,rcp85
65,met_084,760.89026,413.4107,341.06622,113.878944,29.7,4.4,rcp85
66,met_085,759.1134,405.19687,344.63266,113.67564,26.333334,5.6,rcp85
67,met_086,748.5423,405.94525,335.66504,113.46551,29.033333,5.3333335,rcp85
68,met_087,761.23694,416.11505,338.23334,113.727516,28.866667,6.6666665,rcp85
69,met_088,767.72705,411.32123,347.55978,114.12486,30.4,4.8333335,rcp26
